"","species_name_sem","neighbor_name_sem","mean","lower","upper"
"1","CLAPUR","APOAND",0.141277162816782,-0.550982072057128,0.841044730405998
"2","CLAPUR","CERGLO",0.127472476626287,-0.464848970448586,0.725489512204973
"3","CLAPUR","CIRSIUM",0.846314367651489,-0.889066154900565,2.46548860200637
"4","CLAPUR","CLAPUR",0.173758196556237,-0.0662921223239748,0.401710417402306
"5","CLAPUR","COLLIN",-0.376512671812378,-0.771315912780043,0.030865291093119
"6","CLAPUR","COLLOM",0.0239379403165624,-0.265681974911594,0.317798642096659
"7","CLAPUR","D",-0.671945044984345,-2.04307433468261,0.664670442829187
"8","CLAPUR","DAUCAR",-0.319777161703462,-1.00246886020561,0.381694390986898
"9","CLAPUR","EPIDEN",0.0904145691948883,-0.107017454680675,0.276603707641729
"10","CLAPUR","ERILAN",0.29045719307855,-0.701280847375427,1.20018005188788
"11","CLAPUR","F",0.0373805302194578,-0.0149319437504574,0.137940425183813
"12","CLAPUR","G",-0.17536434741053,-1.77237139712278,1.4842837788122
"13","CLAPUR","GERANIUM",-0.240782375904471,-1.41718856836065,0.872122254854049
"14","CLAPUR","GILCAP",-0.218785444678974,-0.530679463564044,0.0778902278770127
"15","CLAPUR","HYPERNICUM",0.0285826938178397,-1.37987264248683,1.40915839573499
"16","CLAPUR","LACTUCA",0.00275647802509723,-0.0530816919690024,0.0640186972888472
"17","CLAPUR","LATHVIC",0.139782109198677,-0.200234562254178,0.453862004391499
"18","CLAPUR","LEUVUL",-0.231485644984139,-1.90327090089165,1.4798041238583
"19","CLAPUR","LUPBIC",-0.0029678934423377,-1.75022386582631,1.75586072371367
"20","CLAPUR","MYOSOTIS",0.207842522663105,-0.484420418514197,0.923060081844118
"21","CLAPUR","NAVSQU",0.0743867449475676,-0.0154908584053664,0.161990664202007
"22","CLAPUR","PLAFIG",0.265721532406285,-1.28442211748259,1.6971583959835
"23","CLAPUR","PLECON",-0.00250380780548456,-0.0625287437791018,0.0564732836913754
"24","CLAPUR","SHEARV",-0.124686928123208,-0.308374009970244,0.045459177035698
"25","CLAPUR","TRIFOLIUM",-0.210906324789018,-0.841656696233213,0.423884421308611
"26","CLAPUR","VERARV",-0.288338046376204,-1.19996287510963,0.610429783822457
