"","species_name_rf","neighbor_name_rf","mean","lower","upper"
"1","CLAPUR","A",0.643914873275601,-1.24037367362945,2.49386229009177
"2","CLAPUR","B",-0.104683319787177,-0.705685043697234,0.455290508044977
"3","CLAPUR","C",0.290912710373861,0.0755329149072257,0.519449866919395
"4","CLAPUR","CERGLO",0.0831502825218011,-0.680363305802621,0.81802288925887
"5","CLAPUR","CLAAMO",0.14927939401554,-0.337006415408389,0.720768173385274
"6","CLAPUR","CLAPUR",0.126543561979625,0.0039641259729786,0.229695216089918
"7","CLAPUR","COLLIN",0.0338572005849338,-0.0993208192976222,0.156882737779285
"8","CLAPUR","COLLOM",0.0352888272346355,-0.0990850327955076,0.161788920126794
"9","CLAPUR","DANDEION",0.274736841446355,-0.193764234281611,0.908953325651913
"10","CLAPUR","DAUCAR",-0.420499742109641,-1.66471715003321,0.793040453428656
"11","CLAPUR","EPIDEN",0.0529664821719722,-0.0277479645777782,0.129606859029927
"12","CLAPUR","ERILAN",0.187532319552823,-1.18999371133732,1.6181045953103
"13","CLAPUR","GERANIUM",0.152644275985238,0.00379753137725974,0.305572950063445
"14","CLAPUR","GILCAP",0.121659184965311,-0.178754026306777,0.410447183383078
"15","CLAPUR","LACTUCA",0.466074513360749,-0.579364677450098,1.46591481036249
"16","CLAPUR","LATHVIC",0.397449342900652,-0.151705950382756,1.16984974021044
"17","CLAPUR","MADIA",0.249970074945033,-0.255902048466141,0.980300113814284
"18","CLAPUR","MYOSOTIS",-0.319913678790876,-1.06272316315774,0.416278108242695
"19","CLAPUR","NAVINT",-0.153941496784058,-0.4219468305852,0.0948767895455668
"20","CLAPUR","NAVSQU",0.0421975379005866,-0.0267588323881884,0.107612558508622
"21","CLAPUR","PLAFIG",-0.245376374951137,-0.953070856918202,0.506201170364548
"22","CLAPUR","PLECON",0.248679854422911,-0.298208337530443,0.748233660495412
"23","CLAPUR","SHEARV",0.00404682075130251,-1.39082682013308,1.4106843596486
"24","CLAPUR","TRIFOLIUM",0.444089680664037,-0.090422714451534,1.21131745683305
"25","COLLIN","A",0.10118964027314,-0.108833424427922,0.355214644683927
"26","COLLIN","B",0.0899072644615873,0.0150880555702812,0.172030234239926
"27","COLLIN","C",0.148574859007871,0.0379904411031426,0.255867037846032
"28","COLLIN","CERGLO",0.0441450819204107,-0.0137963198850996,0.104050134869245
"29","COLLIN","CLAAMO",0.0779445357810827,-0.178354323920997,0.393130370365885
"30","COLLIN","CLAPUR",0.0728671097986257,0.0419717388172742,0.103956796701516
"31","COLLIN","COLLIN",0.013704012300775,-0.0023832925224014,0.0309042068807501
"32","COLLIN","COLLOM",0.0292250602636423,0.0160596401424696,0.0434606410295701
"33","COLLIN","DANDEION",0.143168969805314,-0.097306863161318,0.483302122332799
"34","COLLIN","DAUCAR",0.233032914105793,0.0506254820564798,0.454399652431893
"35","COLLIN","EPIDEN",0.0147963981300192,0.00371904212866629,0.0275408487076664
"36","COLLIN","ERILAN",0.212179748586845,0.0171139758878523,0.446178799171747
"37","COLLIN","GERANIUM",0.0779006330741016,0.00179426796024818,0.152105135413366
"38","COLLIN","GILCAP",0.00726444091525022,-0.0178351480188605,0.0319022340648006
"39","COLLIN","LACTUCA",0.12049100647654,0.0336388783427795,0.214696038006571
"40","COLLIN","LATHVIC",0.206383137822561,-0.071285017699,0.613920651443195
"41","COLLIN","MADIA",0.131155050827243,-0.130810459649,0.524178123138641
"42","COLLIN","MYOSOTIS",-0.0567299479176438,-0.209359491277312,0.0776925003490031
"43","COLLIN","NAVINT",-0.0541984658744175,-0.111370301974884,-0.00291049115869066
"44","COLLIN","NAVSQU",0.0119357108975195,0.00695571000183683,0.0178671729797619
"45","COLLIN","PLAFIG",-0.0192993534411465,-0.0624519673546768,0.0231476806346843
"46","COLLIN","PLECON",0.00131923038471452,-0.0228786577389668,0.0262582961376901
"47","COLLIN","SHEARV",0.089048495770822,-0.0408936456667434,0.237085279727093
"48","COLLIN","TRIFOLIUM",0.232775528255709,-0.044891342365009,0.670231784128322
"49","COLLOM","A",0.289132854731192,-0.328337548354668,1.01403487623
"50","COLLOM","B",0.744533187068139,-0.723396099397033,2.01433180085286
"51","COLLOM","C",-0.381167505012694,-2.22357895405769,1.47605598688882
"52","COLLOM","CERGLO",0.0881969674367109,-1.15544932890151,1.24775201196596
"53","COLLOM","CLAAMO",0.224259417991551,-0.515067079436703,1.10345399316833
"54","COLLOM","CLAPUR",-0.0524474183518715,-0.606244050180164,0.51581594365753
"55","COLLOM","COLLIN",0.11390694151436,-0.189584303981736,0.426494760553871
"56","COLLOM","COLLOM",0.0513215406919068,-0.138882513276531,0.220149327441474
"57","COLLOM","DANDEION",0.412176622653272,-0.28381268638144,1.36179601113041
"58","COLLOM","DAUCAR",0.510161386116116,-1.10369875111038,2.08661922923379
"59","COLLOM","EPIDEN",0.160415849199346,-0.00769580792131417,0.318534975955626
"60","COLLOM","ERILAN",0.397814209613001,-1.34283931900397,2.17364937055723
"61","COLLOM","GERANIUM",-0.0449298884432238,-0.822379363464674,0.621313280580708
"62","COLLOM","GILCAP",-0.35206647686789,-0.922108851416421,0.238610585944423
"63","COLLOM","LACTUCA",0.780125304474672,-0.607963584301379,2.01422187236599
"64","COLLOM","LATHVIC",0.593494964005557,-0.217234381456724,1.7118087295362
"65","COLLOM","MADIA",0.376477336579137,-0.369101698109828,1.50756181959411
"66","COLLOM","MYOSOTIS",-0.0203862670864835,-1.82668732533979,1.86267214925576
"67","COLLOM","NAVINT",-0.489416858420959,-0.966289405110245,-0.0463685864277823
"68","COLLOM","NAVSQU",0.0592407733185978,-0.0581627819056974,0.175561133514707
"69","COLLOM","PLAFIG",0.251953831872747,-0.234806598365505,0.738650215764015
"70","COLLOM","PLECON",-0.0707341956533911,-0.937197060566396,0.772117198418324
"71","COLLOM","SHEARV",1.5459561689658,0.142259408568388,2.94972173107736
"72","COLLOM","TRIFOLIUM",0.670869981620215,-0.127769865761141,1.86361505615632
"73","EPIDEN","A",-0.435550523995837,-1.48466702354346,0.632525010240222
"74","EPIDEN","B",0.553527550357471,-0.231827082782696,1.30237375977402
